number,title,genre,plot,Running time,Box office,imdb
124,Fantasia 2000,"Animation, Comedy, Family, Fantasy, Music",An update of the original film with new interpretations of great works of classical music.,74,90900000,7.2
125,The Tigger Movie,"Animation, Comedy, Drama, Family, Musical",Tigger goes looking through the hundred-acre-wood to find his family.,77,96200000,6.3
126,Dinosaur,"Animation, Adventure, Family, Thriller",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,82,349800000,6.5
127,The Kid,"Comedy, Family, Fantasy",An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.,104,110300000,8.3
128,Remember The Titans,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,113,136700000,7.8
129,102 Dalmatians,"Adventure, Comedy, Family",Cruella DeVil gets out of prison and goes after the puppies once more.,100,183600000,4.9
130,The Emperor's New Groove,"Animation, Adventure, Comedy, Family, Fantasy","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",78,169300000,7.4
131,Recess: School's Out,"Animation, Comedy, Family",TJ and company must save summer vacation from disappearing forever.,83,44500000,6.6
132,Atlantis: The Lost Empire,"Animation, Action, Adventure, Family, Fantasy, SciFi",A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,96,186100000,6.9
133,The Princess Diaries,"Comedy, Family, Romance","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",115,165300000,6.3
134,"Monsters, Inc.","Animation, Adventure, Comedy, Family, Fantasy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",92,577400000,8.1
135,Snow Dogs,"Adventure, Comedy, Family, Sport","When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",99,115000000,5.2
136,The Rookie,"Drama, Family, Sport",A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,128,80700000,6.9
137,Lilo & Stitch,"Animation, Adventure, Comedy, Drama, Family, Fantasy, SciFi",A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.,85,273100000,7.2
138,The Country Bears,"Comedy, Family, Music, Musical",Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.,88,18000000,4.1
139,Tuck Everlasting,"Drama, Family, Fantasy, Romance",A young woman meets and falls in love with a young man who is part of a family of immortals.,96,19300000,6.6
140,The Santa Clause 2,"Comedy, Family, Fantasy","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.",104,172900000,5.6
141,Treasure Planet,"Animation, Adventure, Family, SciFi","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.",95,109600000,7.2
142,The Jungle Book 2,"Animation, Adventure, Family, Musical","Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.",72,135700000,5.4
143,Piglet's Big Movie,"Animation, Adventure, Comedy, Family, Musical, Mystery","When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",75,62900000,6.2
144,Holes,"Adventure, Comedy, Drama, Family, Mystery",A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,117,71400000,7
145,Lizzie McGuire,"Adventure, Comedy, Family, Music, Romance","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",94,55500000,5.5
146,Finding Nemo,"Animation, Adventure, Comedy, Family","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,940300000,8.1
147,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,654300000,8
148,Freaky Friday,"Comedy, Family, Fantasy, Music, Romance","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",97,160800000,6.2
149,Brother Bear,"Animation, Adventure, Comedy, Family, Fantasy","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",85,250400000,6.8
150,The Haunted Mansion,"Comedy, Family, Fantasy, Horror, Mystery","A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.",86,182300000,5
151,The Young Black Stallion,"Adventure, Family, Drama",A young girl befriends a wild black stallion.,50,9638389,5.6
152,Teacher's Pet,"Animation, Adventure, Comedy, Family, Fantasy, Musical, SciFi","Spot (Lane) is a dog who can talk and read. Posing as a human, he sneaks into school with his master Leonard (Flemming). Educational adventures ensue.",74,6500000,7.1
153,Miracle,"Biography, Drama, History, Sport","The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",136,64500000,7.5
154,Confessions of a Teenage Drama Queen,"Comedy, Family, Music, Romance","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",89,33100000,4.7
155,Sacred Planet,"Documentary, Short","This IMAX film shows exotic places that still exist and gives new insights into the Earth's diverse landscapes, peoples and animals. From the last remaining old growth forests of British ...",40,1108356,6
156,Around the World in 80 Days,"Action, Adventure, Comedy, Family, Western","To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.",120,72200000,5.9
157,America's Heart and Soul,Documentary,Filmmaker Louis Schwartzberg hits the road to capture America's people and its natural beauty.,84,314402,
158,The Princess Diaries 2: Royal Engagement,"Comedy, Family, Romance","Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",113,134700000,5.8
159,The Incredibles,"Animation, Action, Adventure, Family","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",115,633000000,8
160,National Treasure,"Action, Adventure, Mystery, Thriller",A historian races to find the legendary Templar Treasure before a team of mercenaries.,131,347500000,6.9
161,Aliens of the Deep,"Documentary, Family","James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms.",100,9000000,6.4
162,Pooh's Heffalump Movie,"Animation, Comedy, Family, Fantasy, Musical, Mystery","A Heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ...",68,52900000,6.4
163,Ice Princess,"Comedy, Drama, Family, Sport","With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.",97,27600000,6
164,Herbie: Fully Loaded,"Adventure, Comedy, Family, Fantasy, Romance, Sport","Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.",101,144100000,4.8
165,Valiant,"Animation, Adventure, Comedy, Family, War","At the height of World War II, a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain, as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?",76,61700000,5.5
166,The Greatest Game Ever Played,"Biography, Drama, Sport","In the 1913 US Open, 20-year-old Francis Ouimet played golf against his idol, 1900 US Open champion, Englishman Harry Vardon.",120,15400000,7.4
167,Chicken Little,"Animation, Adventure, Comedy, Family, Fantasy, SciFi","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",81,314400000,5.7
168,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,143,745000000,6.9
169,Glory Road,"Biography, Drama, Sport","In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.",106,42900000,7.2
170,Roving Mars,"Documentary, Short",A pair of uncrewed vehicles transmit images from Mars.,40,11000000,7.2
171,Eight Below,"Adventure, Drama, Family",Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.,120,120500000,7.3
172,The Shaggy Dog,"Family, Comedy, Fantasy",A teenage boy is cursed with periodically turning into an sheepdog.,99,87100000,4.4
173,The Wild,"Animation, Adventure, Comedy, Family","An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",82,102300000,5.3
174,Cars,"Animation, Comedy, Family, Sport","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",117,462000000,7.1
175,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",151,1066000000,7.3
176,Invincible,"Biography, Drama, Sport","Based on the story of Vince Papale, a 30-year-old bartender from South Philadelphia who overcame long odds to play for the NFL's Philadelphia Eagles in 1976.",104,58500000,7.1
177,The Nightmare Before Christmas,"Animation, Family, Fantasy, Musical","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",76,91500000,8
178,The Santa Clause 3: The Escape Clause,"Adventure, Comedy, Family, Fantasy","Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from taking over Christmas.",92,110800000,4.8
179,Meet the Robinsons,"Animation, Adventure, Comedy, Family, SciFi","Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",94,169300000,6.8
180,Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",168,961000000,7.1
181,Ratatouille,"Animation, Adventure, Comedy, Drama, Family, Fantasy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,111,620700000,8
182,The Game Plan,"Comedy, Family, Sport",An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,110,146600000,6.1
183,National Treasure: Book of Secrets,"Action, Adventure, Family, Mystery, Thriller",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,124,459200000,6.5
184,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"Documentary, Music",A 3-D concert film of the 2007 Hannah Montana/Miley Cyrus tour.,74,70600000,2.4
185,The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family, Fantasy","The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",150,419700000,6.5
186,WALL-E,"Animation, Adventure, Family, SciFi","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",97,521300000,8.4
187,High School Musical 3: Senior Year,"Comedy, Drama, Family, Music, Musical, Romance","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.",111,252900000,
188,Bedtime Stories,"Comedy, Family, Fantasy, Romance",A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,99,212900000,6
189,Jonas Brothers: The 3D Concert Experience,"Documentary, Music","A 3-D concert film of the 2008 Jonas Brothers ""Burning Up"" concert tour, as well as documentary footage on the lives of the three brothers.",76,23100000,1.5
190,Hannah Montana: The Movie,"Comedy, Drama, Family, Music, Romance","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",97,169.2,4.5
191,Up,"Animation, Adventure, Comedy, Family","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",96,735100000,8.2
192,G-Force,"Action, Adventure, Comedy, Family, Fantasy, SciFi",A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,90,292800000,5.1
193,Old Dogs,"Comedy, Family",Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,88,96800000,5.4
194,The Princess and the Frog,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",97,270000000,7.1
195,Alice in Wonderland,"Adventure, Family, Fantasy","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",108,1025000000,6.4
196,Toy Story 3,"Animation, Adventure, Comedy, Family, Fantasy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103,1067000000,8.3
197,Secretariat,"Biography, Drama, Family, History, Sport","Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",123,60300000,7.2
198,Tangled,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",100,592400000,7.7
199,Tron: Legacy,"Action, Adventure, SciFi",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,125,400100000,6.8
200,Mars Needs Moms,"Animation, Action, Adventure, Family, SciFi",A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,88,39200000,5.4
201,African Cats,"Documentary, Adventure",A nature documentary centered on two cat families and how they teach their cubs the ways of the wild.,89,30900000,7.6
202,Prom,"Comedy, Drama, Family, Romance",A group of teenagers get ready for their high school prom.,104,10700000,5.4
203,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",137,1046000000,6.6
204,Cars 2,"Animation, Adventure, Comedy, Family, Sport",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,106,562100000,6.1
205,Winnie the Pooh,"Animation, Adventure, Comedy, Family, Musical","While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",69,50100000,7.2
206,The Muppets,"Adventure, Comedy, Family, Musical",A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,103,165200000,7.1
207,John Carter,"Action, Adventure, SciFi","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",132,284100000,6.6
208,Chimpanzee,"Documentary, Family",A 3-month-old chimpanzee is separated from his troop and is then adopted by a fully-grown male.,77,34800000,7.2
209,Brave,"Animation, Adventure, Comedy, Family, Fantasy","Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",93,540400000,7.1
210,The Odd Life of Timothy Green,"Comedy, Drama, Family, Fantasy","A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",104,56000000,6.6
211,Frankenweenie,"Animation, Comedy, Family, Horror, SciFi","When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",87,81500000,6.9
212,Wreck-It Ralph,"Animation, Adventure, Comedy, Family, Fantasy","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",101,471200000,7.7
213,Monsters University,"Animation, Adventure, Comedy, Family, Fantasy","A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",104,743600000,7.3
214,Frozen,"Animation, Adventure, Comedy, Family, Fantasy, Musical","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",102,1280000000,7.4
215,Saving Mr. Banks,"Biography, Comedy, Drama","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",125,117900000,7.5
216,Muppets Most Wanted,"Adventure, Comedy, Crime, Family, Musical, Mystery","While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",107,80400000,6.4
217,Bears,"Documentary, Family",A documentary that follows an Alaskan bear family as its young cubs are taught life's most important lessons.,77,21300000,7.4
218,Big Hero 6,"Animation, Action, Adventure, Family, SciFi","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",102,657800000,7.8
219,Monkey Kingdom,Documentary,"A nature documentary that follows a newborn monkey and its mother as they struggle to survive within the competitive social hierarchy of the Temple Troop, a dynamic group of monkeys who ...",82,17100000,7.3
220,Inside Out,"Animation, Adventure, Comedy, Drama, Family, Fantasy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",94,858000000,8.1
221,The Good Dinosaur,"Animation, Adventure, Comedy, Drama, Family, Fantasy","In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",94,332200000,6.7
222,The Finest Hours,"Action, Drama, History, Thriller",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,117,52100000,6.8
223,Zootopia,"Animation, Adventure, Comedy, Crime, Family, Mystery","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,1024000000,8
224,The Jungle Book,"Animation, Adventure, Family, Musical",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,106,966600000,7.4
225,Finding Dory,"Animation, Adventure, Comedy, Family","Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",97,1029000000,7.3
226,The BFG,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117,195200000,6.4
227,Pete's Dragon,"Action, Adventure, Comedy, Drama, Family, Fantasy","The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon.",103,143700000,6.7
228,Queen of Katwe,"Biography, Drama, Sport",A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,124,10400000,7.4
229,Moana,"Animation, Adventure, Comedy, Family, Fantasy, Musical","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,690800000,7.6
230,Born in China,Documentary,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.",76,25100000,7.2
231,Cars 3,"Animation, Adventure, Comedy, Family, Sport",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,102,383900000,6.7
232,Coco,"Animation, Adventure, Family, Fantasy, Music, Mystery","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,807800000,8.4
233,A Wrinkle in Time,"Adventure, Family, Fantasy, SciFi","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",109,133400000,4.2
234,Dumbo,"Adventure, Family, Fantasy","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",112,353300000,7.2
235,Penguins,"Documentary, Family","A coming-of-age story about an Ad̩lie penguin named Steve who joins millions of fellow males in the icy Antarctic spring on a quest to build a suitable nest, find a life partner and start a family.",76,7.7,7
236,Toy Story 4,"Animation, Adventure, Comedy, Family, Fantasy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",100,1073000000,7.8
237,The Lion King,"Animation, Adventure, Drama, Family, Musical","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",118,1657000000,8.5
238,Frozen II,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",103,1450000000,6.9
239,Onward,"Animation, Adventure, Comedy, Family, Fantasy",Two elven brothers embark on a quest to bring their father back for one day.,102,141900000,7.4
